# zmin,zmax, thetamin,thetamax, lambdamin,lambdamax, timemin,timemax, wxmin,wxmax, wzmin,wzmax, val,relerr
18.8,20, 58.5,59, 3,3.5, 2,3, 0.8,0.85, 0.01,0.03, 1.65725e+16,8.21842
14,15.2, 58,58.5, 2.8,3, 2,3, 0.8,0.85, 0,0.01, 4.2608e+16,9.59306
18.8,20, 59.5,60, 1.1,1.2, 0.6,0.7, 0.85,0.88, 0.03,0.05, 1.69993e+18,9.09512
15.2,16.4, 60.5,61, 0.9,1, 0.5,0.6, 0.85,0.88, 0.01,0.03, 1.913e+18,7.44476
17.6,18.8, 60.5,61, 0.8,0.9, 0.4,0.5, 0.85,0.88, 0.03,0.05, 1.23486e+18,9.08563
12.8,14, 59.5,60, 0,0.1, 0,0.1, 0.85,0.88, 0.01,0.03, 3.6101e+19,4.32219
16.4,17.6, 60.5,61, 0,0.1, 0,0.1, 0.85,0.88, 0.03,0.05, 1.65623e+19,4.61634
8,9.2, 59.5,60, 0,0.1, 0,0.1, 0.85,0.88, 0.03,0.05, 2.44812e+19,3.07346
9.2,10.4, 60,60.5, 2.6,2.8, 1.5,2, 0.85,0.88, 0.01,0.03, 2.84812e+17,4.84024
15.2,16.4, 59,59.5, 1.3,1.4, 1,1.1, 0.8,0.85, 0.01,0.03, 2.98404e+17,9.63007
18.8,20, 57.5,58, 1.3,1.4, 1,1.1, 0.8,0.85, 0.03,0.05, 2.75737e+17,9.18995
12.8,14, 57,57.5, 1.2,1.3, 0.8,0.9, 0.8,0.85, 0,0.01, 1.67046e+18,8.69851
11.6,12.8, 59,59.5, 1.2,1.3, 0.8,0.9, 0.8,0.85, 0,0.01, 1.12255e+18,7.44032
11.6,12.8, 57.5,58, 0,0.1, 0,0.1, 0.8,0.85, 0.01,0.03, 4.27831e+19,1.92689
15.2,16.4, 58.5,59, 0,0.1, 0,0.1, 0.85,0.88, 0,0.01, 8.6495e+19,2.32089
15.2,16.4, 60,60.5, 0,0.1, 0,0.1, 0.85,0.88, 0.01,0.03, 7.3779e+19,2.02216
18.8,20, 59.5,60, 0,0.1, 0,0.1, 0.88,0.9, 0.05,0.07, 1.06022e+19,6.58618
10.4,11.6, 60,60.5, 0,0.1, 0,0.1, 0.85,0.88, 0.03,0.05, 1.33215e+19,4.5974
10.4,11.6, 57.5,58, 0,0.1, 0,0.1, 0.88,0.9, 0.03,0.05, 1.62219e+19,4.97465
11.6,12.8, 60,60.5, 0,0.1, 0,0.1, 0.88,0.9, 0.03,0.05, 6.65643e+18,7.46017
10.4,11.6, 59,59.5, 0,0.1, 0,0.1, 0.88,0.9, 0.01,0.03, 5.30105e+19,2.86949
9.2,10.4, 60.5,61, 0,0.1, 0,0.1, 0.9,0.91, 0.01,0.03, 5.24291e+19,4.12493
9.2,10.4, 58.5,59, 0,0.1, 0,0.1, 0.88,0.9, 0.01,0.03, 4.64542e+19,2.92716
11.6,12.8, 58,58.5, 0,0.1, 0,0.1, 0.85,0.88, 0.03,0.05, 5.95506e+18,6.58743
8,9.2, 59.5,60, 0,0.1, 0,0.1, 0.94,0.95, 0.01,0.03, 7.81502e+18,8.73533
9.2,10.4, 60.5,61, 0,0.1, 0,0.1, 0.95,0.96, 0.01,0.03, 1.95908e+19,4.96858
12.8,14, 59,59.5, 0,0.1, 0,0.1, 0.94,0.95, 0,0.01, 3.48866e+19,6.73471
14,15.2, 58.5,59, 0,0.1, 0,0.1, 0.93,0.94, 0,0.01, 4.05986e+19,5.21449
17.6,18.8, 60,60.5, 0,0.1, 0,0.1, 0.93,0.94, 0.01,0.03, 2.84693e+19,7.89736
16.4,17.6, 57.5,58, 0,0.1, 0,0.1, 0.92,0.93, 0.03,0.05, 1.56277e+19,6.18327
12.8,14, 57.5,58, 0,0.1, 0,0.1, 0.93,0.94, 0.01,0.03, 2.14642e+19,5.57454
9.2,10.4, 58.5,59, 0,0.1, 0,0.1, 0.92,0.93, 0.01,0.03, 2.80785e+19,4.46972
14,15.2, 60,60.5, 0,0.1, 0,0.1, 0.93,0.94, 0.01,0.03, 3.78656e+19,4.04739
18.8,20, 57.5,58, 0,0.1, 0,0.1, 0.88,0.9, 0.05,0.07, 1.18795e+19,5.71302
12.8,14, 60,60.5, 0,0.1, 0,0.1, 0.88,0.9, 0.01,0.03, 3.71161e+19,3.6107
9.2,10.4, 61,61.5, 0,0.1, 0,0.1, 0.88,0.9, 0.03,0.05, 3.35807e+19,3.68352
18.8,20, 57.5,58, 1.3,1.4, 0.6,0.7, 0.85,0.88, 0.03,0.05, 1.36743e+18,9.41497
9.2,10.4, 57.5,58, 0,0.1, 0,0.1, 0.85,0.88, 0.01,0.03, 6.69311e+19,2.01911
10.4,11.6, 61,61.5, 0,0.1, 0,0.1, 0.9,0.91, 0.01,0.03, 5.91716e+19,3.71647
9.2,10.4, 57.5,58, 0,0.1, 0,0.1, 0.88,0.9, 0.01,0.03, 3.55975e+19,3.66012
16.4,17.6, 61,61.5, 0,0.1, 0,0.1, 0.9,0.91, 0.01,0.03, 6.93454e+19,3.38808
11.6,12.8, 60,60.5, 0,0.1, 0,0.1, 0.88,0.9, 0.01,0.03, 5.23511e+19,3.02797
16.4,17.6, 61,61.5, 0,0.1, 0,0.1, 0.88,0.9, 0.01,0.03, 9.07409e+19,2.2733
14,15.2, 59,59.5, 0,0.1, 0,0.1, 0.88,0.9, 0,0.01, 1.00159e+20,2.76955
16.4,17.6, 59,59.5, 0,0.1, 0,0.1, 0.85,0.88, 0.03,0.05, 1.7306e+19,3.69881
17.6,18.8, 58,58.5, 0,0.1, 0,0.1, 0.85,0.88, 0.03,0.05, 4.88031e+19,2.25931
18.8,20, 57.5,58, 0,0.1, 0,0.1, 0.8,0.85, 0.07,0.09, 1.67454e+18,9.54365
9.2,10.4, 61,61.5, 0,0.1, 0,0.1, 0.88,0.9, 0.05,0.07, 5.82882e+18,9.51013
9.2,10.4, 60.5,61, 5,7.5, 3,4, 0.8,0.85, 0.01,0.03, 1.03066e+16,3.60534
17.6,18.8, 61,61.5, 5,7.5, 3,4, 0.85,0.88, 0.01,0.03, 9.29217e+15,4.65685
16.4,17.6, 58.5,59, 4,5, 2,3, 0.8,0.85, 0.01,0.03, 4.50664e+16,3.73733
14,15.2, 61,61.5, 4,5, 2,3, 0.85,0.88, 0,0.01, 8.76173e+16,5.47958
9.2,10.4, 59,59.5, 1.1,1.2, 0.8,0.9, 0.8,0.85, 0.01,0.03, 7.71152e+17,7.20233
9.2,10.4, 60,60.5, 1.1,1.2, 0.8,0.9, 0.8,0.85, 0.01,0.03, 5.73139e+17,7.85586
16.4,17.6, 60,60.5, 2.4,2.6, 1.3,1.4, 0.8,0.85, 0.01,0.03, 7.56707e+17,7.22143
